
Crnt Date&Time,Reg ID,Name,Age,Email ID,Gender
"28/01/2021, 14:42:47", CID(Enter your 4-digit ID):,NAME:,AGE:,EMAIL:,GENDER:
Crnt Date&Time,Reg ID,Name,Age,Email ID,Gender
"28/01/2021, 15:10:54", CID(Enter your 4-digit ID):,NAME:,AGE:,EMAIL:,GENDER:
Crnt Date&Time,Reg ID,Name,Age,Email ID,Gender
"28/01/2021, 15:26:05", CID(Enter your 4-digit ID):4828,NAME:kuku,AGE:12,EMAIL:kuku2gmail.com,GENDER:F
Crnt Date&Time,Reg ID,Name,Age,Email ID,Gender
"28/01/2021, 15:39:27", CID(Enter your 4-digit ID):,NAME:,AGE:,EMAIL:,GENDER:
Crnt Date&Time,Reg ID,Name,Age,Email ID,Gender
"28/01/2021, 15:39:45", CID(Enter your 4-digit ID):,NAME:,AGE:,EMAIL:,GENDER:
